,BC_ID,H_0,H_24,H_48,H_72,H_96,Mut_ID,Strain,Environment
109,918,-5.731109084,NA,NA,NA,NA,916,DivAnc,SC_3.0
110,930,-5.430079089,-6.443188329,NA,-6.159938771,NA,340,DivAnc,SC_3.0
111,935,NA,-6.443188329,NA,NA,NA,983,DivAnc,SC_3.0
112,947,-4.316135736,-3.95322985,-3.926159451,-4.337117126,-4.34031058,292,DivAnc,SC_3.0
113,949,-5.731109084,NA,NA,NA,NA,148,DivAnc,SC_3.0
114,950,-5.430079089,NA,NA,NA,NA,381,DivAnc,SC_3.0
115,960,-3.155921239,-3.124916249,-3.129366091,-3.282855514,-3.336884176,620,DivAnc,SC_3.0
116,977,-3.288629315,-3.25397884,-3.462799173,-3.365799415,-3.314842483,985,DivAnc,SC_3.0
117,979,-5.731109084,-6.443188329,NA,NA,NA,1014,DivAnc,SC_3.0
118,990,-5.25398783,NA,NA,NA,NA,710,DivAnc,SC_3.0
119,1003,-5.430079089,-5.841128338,-5.858125566,-6.460968767,-6.344631954,518,DivAnc,SC_3.0
120,1010,-5.129049093,NA,-6.159155561,-6.159938771,NA,461,DivAnc,SC_3.0
121,1015,-5.25398783,NA,NA,-6.460968767,NA,727,DivAnc,SC_3.0
122,1021,NA,NA,-6.159155561,NA,NA,622,DivAnc,SC_3.0
123,1031,NA,-6.443188329,-6.159155561,NA,NA,313,DivAnc,SC_3.0
124,1040,-3.726787711,-3.58105695,-3.49357457,-3.464895112,-3.384161176,711,DivAnc,SC_3.0
125,1045,-3.471037696,-3.313498437,-3.365365177,-3.506243976,-3.589519687,500,DivAnc,SC_3.0
126,1066,-5.430079089,-6.142158334,-6.159155561,-6.159938771,-6.043601958,732,DivAnc,SC_3.0
127,1067,-5.731109084,NA,-6.159155561,NA,NA,670,DivAnc,SC_3.0
128,1068,-3.731109084,-4.390109886,-4.079974315,-4.333863968,-4.62862861,449,DivAnc,SC_3.0
129,1078,NA,-6.142158334,NA,NA,NA,241,DivAnc,SC_3.0
130,1082,-4.430079089,-4.579865469,-4.77894432,-4.904666266,-4.654435874,534,DivAnc,SC_3.0
131,1088,NA,NA,NA,-6.460968767,NA,191,DivAnc,SC_3.0
132,1095,-3.215235241,-3.069724608,-3.143376805,-3.115203074,-3.201617154,287,DivAnc,SC_3.0
133,1102,-3.319489378,-3.287245311,-3.410967534,-3.452368595,-3.570845509,33,DivAnc,SC_3.0
134,1105,-5.731109084,NA,NA,NA,NA,684,DivAnc,SC_3.0
135,1132,-2.94935371,-2.846921203,-2.883383661,-2.847655605,-2.917632995,252,DivAnc,SC_3.0
136,1143,-3.171202459,-3.102545952,-3.292277747,-3.19662326,-3.142143637,71,DivAnc,SC_3.0
137,1169,-5.731109084,-6.443188329,NA,-6.460968767,NA,612,DivAnc,SC_3.0
138,1175,-4.776866575,-5.364007083,-5.314057521,-5.419576082,-6.344631954,97,DivAnc,SC_3.0
139,1176,NA,NA,-6.159155561,NA,NA,162,DivAnc,SC_3.0
140,1189,-2.977526026,-2.897633822,-2.966030963,-2.896302702,-2.896544287,981,DivAnc,SC_3.0
141,1197,-5.129049093,-6.142158334,-5.858125566,-5.761998762,-6.043601958,138,DivAnc,SC_3.0
142,1237,-5.731109084,-6.443188329,NA,-6.460968767,NA,988,DivAnc,SC_3.0
143,1249,-3.610535153,-3.536853288,-3.734273925,-4.03608713,-3.749135732,1012,DivAnc,SC_3.0
144,1287,NA,-5.744218325,-6.159155561,-5.858908775,-5.867510699,546,DivAnc,SC_3.0
145,1304,-5.731109084,NA,NA,-5.284877508,NA,296,DivAnc,SC_3.0
146,1306,-5.03213908,-6.142158334,-5.381004311,-5.858908775,-6.043601958,572,DivAnc,SC_3.0
147,1326,-3.194550642,-3.349066734,-3.303031117,-3.183359552,-3.33306151,295,DivAnc,SC_3.0
148,1330,-4.006833215,-4.735618153,-4.359815012,-4.615870727,-4.882233956,650,DivAnc,SC_3.0
149,1370,NA,NA,-6.159155561,-5.983847512,NA,976,DivAnc,SC_3.0
150,1392,-5.731109084,-6.142158334,NA,NA,NA,109,DivAnc,SC_3.0
151,1395,-4.18704104,-3.884479759,-4.366763872,-4.431584989,-3.971719951,52,DivAnc,SC_3.0
